id;rating;commentary;creation_date;state
1;80522;Ergonomic Concrete Mouse Music;2020-11-01T19:58:31;true
2;28271;even-keeled Soft;2020-11-01T01:49:58;false
3;47200;Extended executive;2020-11-01T12:29:44;false
4;82352;Ergonomic Metal Computer deposit;2020-11-01T15:33:05;false
5;52035;Afghanistan;2020-11-01T23:09:07;true
6;76984;navigate Outdoors Garden;2020-11-01T05:24:14;false
7;58893;Concrete;2020-11-01T16:54:03;true
8;748;Cotton Intranet;2020-11-01T17:48:18;false
9;83183;Refined Focused;2020-11-01T14:40:55;false
10;79878;User-centric Granite Auto Loan Account;2020-11-01T11:26:21;true
